,day_n,retained,users
0,1,10989,23337
1,2,8270,23333
2,3,6901,23332
3,4,6102,23332
4,5,5554,23329
5,6,5187,23325
6,7,4908,23324
7,8,4529,23321
8,9,4334,23313
9,10,4086,23309
10,11,4080,23305
11,12,4128,23299
12,13,4132,23298
13,14,4137,23293
14,15,3887,23289
15,16,3823,23286
16,17,3649,23282
17,18,3669,23280
18,19,3554,23275
19,20,3536,23268
20,21,3530,23265
21,22,3352,23259
22,23,3230,23256
23,24,3229,23252
24,25,3217,23249
25,26,3091,23247
26,27,3060,23235
27,28,3117,23224
28,29,3050,23214
29,30,2902,23207
