,day_n,retained,users
0,1,10834,23328
1,2,7959,23324
2,3,6611,23324
3,4,5840,23320
4,5,5463,23319
5,6,5082,23314
6,7,4916,23314
7,8,4621,23310
8,9,4388,23303
9,10,4241,23300
10,11,4184,23295
11,12,4224,23293
12,13,4249,23289
13,14,4298,23285
14,15,4122,23282
15,16,3971,23276
16,17,3839,23271
17,18,3812,23264
18,19,3756,23262
19,20,3716,23258
20,21,3733,23254
21,22,3591,23244
22,23,3498,23241
23,24,3446,23237
24,25,3353,23229
25,26,3318,23221
26,27,3356,23209
27,28,3360,23203
28,29,3299,23196
29,30,3263,23184
